Z,N,AX,E(keV),J,T1/2,Eγ(keV),λ
72,102,174Hf,3311.7 (18),(14+),3.7(2) μs,"10.3(10)
11.87(25)
15.7(7)
31.9(5)
42.69(14)
54(5)
82.0(3)
132.4(14)
155.09(16)
194.8(12)
221.97(22)
318.8(3)
328.36(5)
339.7(5)
379.38(12)
457.70(14)
539.3(6)
627.22(14)
714.2(3)
822.70(15)
1291.32(24)",
74,100,174W,1672.0 (5),,≥ 187 ns,965.3(7),
74,100,174W,1919.7 (5),,187(25) ns,"214.3(3)
247.6(3)",
74,100,174W,2267.8 (4),8,158(3) ns,247.0(2),
74,100,174W,3515.6 (4),12+,128(8) ns,"306.8(2)
557.1(4)
685.6(5)
1327.7(4)
1879.3(5)",
75,99,174Re,152.9+Y,(8),~ 91 ns,115.5(1),(E1)
75,99,174Re,177.74+Z,,≥ 1 μs,177.7(1),
75,99,174Re,343.6+X,(6+),23 ns,137.5,
77,97,174Ir,193 (11),(7+),4.9(3) s,,
69,106,175Tm,440.0 (11),7/2,319(35) ns,"87.4(4)
311.0(2)
313.0(2)
440(1)","E1
E1
E1
M2"
69,106,175Tm,946.7 (11),15/2,44.4(21) ns,"5.2?
163.8(1)
300.6(1)","M1
E2"
69,106,175Tm,1517.7 (12),23/2+,21(14) μs,"108.3(1)
321.7(2)
513(1)",E1
70,105,175Yb,514.866 (4),1/2,68.2(3) ms,514.862(11),(M3)
71,104,175Lu,353.48 (13),5/2,1.49(7) μs,353.3(2),E1
71,104,175Lu,626.53 (15),(1/2+),10.6(5) ns,"111.9(4)
255.72(10)",
71,104,175Lu,1392.2 (6),(19/2+),984(30) μs,"368
592
797",
72,103,175Hf,125.89 (12),1/2,53.7(15) μs,125.9(2),
72,103,175Hf,1433.41 (12),(19/2)+,1.10(8) μs,"357.40(20)
536.42(19)
614.8(3)
722.23(3)
867.16(8)","E1
M1
E2"
72,103,175Hf,3015.6 (4),(35/2),1.21(15) μs,"74.5(8)
82.7(4)
381.3(4)",
72,103,175Hf,4636.2 (12),(45/2+),2.8 μs,"131
291
479",
73,102,175Ta,131.41 (17),(9/2),222(8) ns,131.6(2),
73,102,175Ta,339.2 (13),(1/2+),0.17(2) μs,"121.16
270.25","(E1)
E1"
73,102,175Ta,1567.6 (3),(21/2),1950(150) ns,"216.8(2)
473.8(2)
709.6",(M1)
74,101,175W,104.03 (17),(5/2),45(12) ns,,
74,101,175W,234.96 (15),(7/2+),216(6) ns,"38.69(10)
130.92(10)
145.74(12)",E1
75,100,175Re,1793.8 (11),(19/2),~ 27.7 ns,"179.5
428.7
684.4
693.7",
76,99,175Os,105.7 (2),(7/2+),10(2) ns,105.7(2),(E1)
79,96,175Au,0+X,(11/2,139(2) ms,,
80,95,175Hg,494 (2),(13/2+),0.34(3) μs,414,M2
70,106,176Yb,1049.8 (6),8,11.4(3) s,95.92(9),E1
71,105,176Lu,122.845 (4),1,3.664(19) h,,
71,105,176Lu,1514.5 (5),12+,312(69) ns,"162.4
200.3
355.0
382.3
396.0
454.2
617.0
658.0
687.1
1126.5","(E2)
M1
(E2)"
71,105,176Lu,1587.5 (11),(14+),40(3) μs,"73.0
190.0",(E2)
72,104,176Hf,1333.07 (7),6+,9.6(3) μs,"736.20(7)
1043.0(1)","E2
E2"
72,104,176Hf,1559.31 (9),8,9.9(2) μs,"53.49(7)
226.25(6)","(E1)
M2"
72,104,176Hf,2865.8 (7),14,401(6) μs,"38.7
227.9
302.2","(M1)
(E2)
(E2)"
72,104,176Hf,4376.6 (16),19+,34 ns,"529.1
836.5",(M1)
72,104,176Hf,4863.5 (16),22,45(13) μs,"37
97.1",E2
73,103,176Ta,90.4+X,"(4,5)+",27(8) ns,90.4(8),E1
73,103,176Ta,99.9+X,(3+),38(6) ns,99.9(8),E1
73,103,176Ta,100.2 (10),(0+),30.5(10) ns,100.2,E1
73,103,176Ta,103.0 (18),(+),1.1(1) ms,33.5,E1
73,103,176Ta,193.8?,(+),13.3(10) ns,90.8?,"(M1, E2)"
73,103,176Ta,1371+W,14,3.8(4) μs,"393.6(6)
618.4(6)","M1+E2
E2"
73,103,176Ta,1432+W,(13+),25(8) ns,61.4(8),E1
73,103,176Ta,2771+W,20,0.97(7) ms,"6.9(6)
11.2(6)
345.6(6)",E2
74,102,176W,3747.0 (8),14+,41(1) ns,"445.0(1)
490.9(2)
518.6(3)
714.1(1)
884.5(2)
916.8(3)
945.0(2)",
74,102,176W,4894.7 (8),,~ 10 ns,315.8(1),
75,101,176Re,114.8+X,(8),30(3) ns,99.5,E1
79,97,176Au,0+X,(34),1.05(1) s,,
79,97,176Au,0+Y,"(8+,9+)",1.36(2) s,,
70,107,177Yb,331.5 (3),1/2,6.41(2) s,227.0(2),M3
71,106,177Lu,150.3967 (10),9/2,130(3) ns,150.399(1),E1
71,106,177Lu,569.7068 (16),1/2+,155(7) μs,"111.715(1)
569.680(9)",E2
71,106,177Lu,761.7001 (15),5/2,32.8(24) ns,"52.085 (2)
188.086 (1)
209.610 (1)
303.751 (4)
761.708 (5)","E1

E1"
71,106,177Lu,970.1750 (24),23/2,160.44(6) d,115.8682 (23),E3
71,106,177Lu,1356.878 (7),15/2+,11.1(10) ns,"502.54(6)
720.721(18)
916.25(16)
1067.0
1088.129(10)","M1
M1
M1

(E2)"
71,106,177Lu,2771.6 (7),33/2+,625(62) ns,"542.6
586.5
864.4","M1
E1
E2"
71,106,177Lu,3530.3 (7),39/2,> 6.9 μs,"226.7
402.2
618.7
758.8","M1
M2
E2
E3"
72,105,177Hf,1315.4504 (8),23/2+,1.09(5) s,"14.16
55.15(2)
228.4838(6)","E1+M2
E2"
72,105,177Hf,1342.38 (20),(19/2),55.9(12) μs,"82.1?
324.6?
548.0
751.1?",M1+E2
72,105,177Hf,2740.02 (15),37/2,51.4(5) min *,214,E3
73,104,177Ta,70.59 (13),5/2+,70.2(19) ns,70.5,M1+E2
73,104,177Ta,73.36 (15),9/2,410(7) ns,73.3,E1
73,104,177Ta,186.15 (6),5/2,3.62(10) μs,"13.9?
115.6
186.1","E1
E1"
73,104,177Ta,487.62 (6),1/2+,26(3) ns,"115.05(5)
271.02(9)
417.16(5)","E1
E1
E2"
73,104,177Ta,1355.01 (19),21/2,5.31(25) μs,"53
311.3
549.9","M1+E2
M1+E2
E2"
73,104,177Ta,2826.46 (21),31/2+,23(4) ns,"155.2
244?
257
296.5
502
552
555.3
789.3","M1(+E2)
M1(+E2)
E2"
73,104,177Ta,2852.7 (3),33/2,46(4) ns,26.2,E1
73,104,177Ta,4656.3 (5),49/2,133(4) μs,86.1,E2
74,103,177W,101.17 (10),5/2,38(8) ns,"6?
22?
101.2(1)",
74,103,177W,185.96 (14),7/2+,13(3) ns,"50
84.8(1)",E1
75,102,177Re,84.71 (10),5/2+,50(10) μs,84.7(1),
76,101,177Os,152.3 (3),5/2,40(3) ns,"61.7
152.3?",M1(+E2)
76,101,177Os,300.6 (3),7/2+,46.3(3) ns,"60.2
148.3","E1
E1"
78,99,177Pt,147.4 (4),1/2,2.2(3) μs,147.4(5),
79,98,177Au,157.9+X,11/2,1180(12) ms,,
80,97,177Hg,323.0 (10),(13/2+),1.50(15) μs,246,M2
81,96,177Tl,807 (18),(11/2),230(40) μs,,
71,107,178Lu,123.8 (26),(9),23.1(3) min,,
72,106,178Hf,1147.416 (6),8,4.0(2) s,88.8667(10),E1
72,106,178Hf,1553.997 (4),6+,77.5(7) ns,"40(1)
169.537(2)
406.579(6)
921.827(13)
1247.391(18)","E2
(M2)
E2
(E2)"
72,106,178Hf,2446.09 (8),16+,31(1) y,"12.7(2)
309.50(15)
587.0(1)","M4(+E5)
E5"
73,105,178Ta*,0+X,7,2.36(8) h,,
73,105,178Ta,1467.82+X,15,58(4) ms,227.3(1),E2
73,105,178Ta,1551.92+X,14+,43(8) ns,84.1(1),E1
73,105,178Ta,2902.2+X,(21),290(12) ms,431.1(8),E3
73,105,178Ta,0+Y,(1+),9.31(3) min,,
73,105,178Ta,447.7+Y,(4+),60(5) ns,"118.4(3)
329.2(1)
401.7(8)",
74,104,178W,3654.93 (19),15+,30(1) ns,61.4(1),(E1)
74,104,178W,5313.7 (3),21,64(2) ns,"43.8(1)
251.0(5)",(M1)
74,104,178W,6572.7 (3),25+,220(10) ns,"182.9(1)
946(1)","(E1)
(E3)"
71,108,179Lu,592.4 (4),1/2+,3.1(9) ms,592.1(4),M3
72,107,179Hf,375.0352 (25),1/2,18.67(4) s,"160.696(2)
~ 375",M3
72,107,179Hf,1105.74 (16),25/2,25.05(25) d,"21.01(12)
257.37(15)","M2
E3"
72,107,179Hf,1404.5+X,(21/2+),14(2) ns,,
72,107,179Hf,2549.6 (13),(33/2),30(10) ns,847.1,
72,107,179Hf,3439.2 (18),(39/2),12(6) ns,171,"(M1, E2)"
72,107,179Hf,3775.2 (21),(43/2+),15(5) μs,336,(M2)
73,106,179Ta,30.7 (1),9/2,1.42(8) μs,30.7(1),E1
73,106,179Ta,238.56 (9),5/2+,65(10) ns,238.56(9),M1+E2
73,106,179Ta,520.23 (18),(1/2)+,0.28(8) μs,281.69(16),(E2)
73,106,179Ta,627.98 (15),5/2,80(7) ns,"100.50(9)
283.99(21)
389.32(21)","E1
(E1)"
73,106,179Ta,1252.60 (23),(21/2,322(16) ns,"232.4(2)
474.92(18)",M1(+E2)
73,106,179Ta,1317.2 (4),(25/2+),9.0(2) ms,64.7(3),M2
73,106,179Ta,1328.0 (4),(23/2),1.6(4) μs,75.3(3),M1(+E2)
73,106,179Ta,2639.5 (5),(37/2+),54.1(17) ms,108.8(3),E2
73,106,179Ta,2792.8 (4),(33/2,17(3) ns,"232.0(8)
262.2(3)
573.45(23)
595?",M1
74,105,179W,221.91 (3),1/2,6.40(7) min,"101.6(5)
221.93(5)",M3
74,105,179W,1631.90 (8),(21/2+),390(30) ns,"99.5(2)
114.8(2)
206.7(2)
415.6(2)
508.6(2)
567.3(2)
671.1(2)
883.8(2)",
74,105,179W,3348.41 (14),(35/2),750(80) ns,"266.3(2)
316.4(2)
575.7(2)
609.8(2)
625.0(2)",E2
75,104,179Re,65.35 (9),(5/2),95(25) μs,65.35(9),(E1)
75,104,179Re,1202.2 (6),(21/2),~ 21 ns,295.9(5),
75,104,179Re,1772.20+X,(23/2+),0.408(12) μs,,
75,104,179Re,5408.0 (5),"(47/2,
49/2+)",0.466(15) ms,244.9(2),
76,103,179Os,145.41 (12),(7/2),0.50 μs,45.2(1),M1
76,103,179Os,243.0 (8),(9/2)+,0.783(14) μs,97.5(1),E1
79,100,179Au,89.5 (5),(3/2),328(2) ns,"62.4
89.5","E1
E1"
80,99,179Hg,171.4 (4),(13/2+),6.4(9) μs,110.8(3),M2
81,98,179Tl,0+X,(11/2),1.46(4) ms,,
71,109,180Lu,13.9 (3),3,~ 1 s,14?,
71,109,180Lu,624.0 (5),(9),≥ 1 ms,128,E1
72,108,180Hf,1141.50 (5),8,5.47(4) h,"57.555(17)
500.64(18)","E1
M2+E3"
72,108,180Hf,1374.15 (4),(4),0.57(2) μs,"113.66(2)
1065.77(5)
1281.7(2)",
72,108,180Hf,2425.8 (10),(10+),15(5) μs,"479
772
1041",
72,108,180Hf,2486.3 (9),12+,10(1) μs,"223
540
832
1101","E1
M2
E3"
72,108,180Hf,2538.3 (12),(14+),> 10 μs,52,E2
72,108,180Hf,3599.3 (18),(18),90(10) μs,151,M2
73,107,180Ta,77.1 (8),9,> 1.2E+15 y,,
73,107,180Ta,107.85 (4),0,19.2(7) ns,107.69(4),E1
73,107,180Ta,177.65 (3),8+,70.0(14) ns,100.71(3),E1+M2
73,107,180Ta,356.68 (6),7+,42(3) ns,178.91(9),M1
73,107,180Ta,463.24 (6),7,31.2(19) ns,285.46(7),E1+M2
73,107,180Ta,520.14 (8),4+,37.4(20) ns,"72.09?
209.18(7)
335.16(7)
409.01(15)","M1
M1
M1"
73,107,180Ta,594.43 (16),(5),16.1(19) ns,72.2,
73,107,180Ta,1452.40 (18),15,31.2(1) μs,"142.71(21)
431.62(21)","M1
E2"
73,107,180Ta,2588.37 (22),18(+),22(2) ns,"431.07(9)
1136.8",E1
73,107,180Ta,3679.0 (11),(22),2.0(5) μs,369.8,(E2)
73,107,180Ta,4171.0+X,"(23, 24,
25)",17(5) μs,,
74,106,180W,1529.01 (3),8,5.47(9) ms,390.581(15),E1
74,106,180W,1639.771 (20),5,19.2(3) ns,"178.9(4)
279.31(4)
332.241(20)
454.88(3)
951.25(12)",
74,106,180W,3264.56 (21),14,2.33(19) μs,"222.3(3)
298.4
528.1(3)
813.3(3)",E1
75,105,180Re,20.1,1+,88(3) ns,20.1,E1
75,105,180Re,213.4+X,(7+),73(3) ns,"78.6(3)
121.3(3)","E1
E1"
75,105,180Re,1496.0+X,(11),70(3) ns,"141.3(2)
163.9(1)
262.4(1)
416.8(1)
524.0(2)
678.5(1)
761.7(2)","M1
E1
E1
M1
E1
E2
E1"
75,105,180Re,3471.0+X,21,9.0(7) μs,"62.9?
102.2(1)
456.8(6)","E2
E1"
76,104,180Os,1862.50 (17),7,17(3) ns,"101.4(7)
235.4(3)
257.8(2)
483.4(3)
604.8(2)
1067.4(3)","E2
E1
E1"
76,104,180Os,1928.62 (19),7,25(2) ns,"51.91(25)
301.6(5)
324.0(3)
550.0(3)
670.9(3)
1133.8(4)","E1

(E1)"
76,104,180Os,5848.3 (15),,12(4) ns,286.8,
72,109,181Hf*,595.27 (4),9/2+,80(5) μs,"129.36(4)
154.56(3)
291.39(1)
391.19(12)",
72,109,181Hf,1043.5 (8),(17/2+),~ 100 μs,"115.3
284.9","M1
E2"
72,109,181Hf,1741.9 (13),(25/2),1.5(5) ms,"357
499.2","E3
E3"
73,108,181Ta,6.237 (20),9/2,6.05(12) μs,6.240(20),E1
73,108,181Ta,482.168 (23),5/2+,10.8(1) ns,"345.97(4)
475.99(9)
482.17(3)","E2
M2+E3
M1+E2"
73,108,181Ta,615.19 (3),1/2+,18(1) μs,"133.027(18)
615.17(11)","E2
M3(+E4)"
73,108,181Ta,1403.2+X,(19/2+),140(36) ns,,
73,108,181Ta,1483.43(21),21/2,25(2) μs,"177
455.3
710.6",
73,108,181Ta,2227.9 (9),,210(20) μs,"130
295",
74,107,181W,365.55 (13),5/2,14.59(15) μs,"252.2(3)
365.5(3)","E3
M2"
74,107,181W,1653.1 (6),21/2+,140(20) ns,"838.9
1053.7",
74,107,181W,1744.9 (8),(23/2),~ 50 ns,91.8,(E1)
74,107,181W,3943.9 (16),37/2,~ 20 ns,"351
712",
75,106,181Re,262.91 (11),9/2,156.7(19) ns,144.76(11),E1
75,106,181Re,356.72 (7),5/2,87.6(12) ns,"238.75(7)
356.7(2)","E1
(E1)"
75,106,181Re,1656.37 (14),21/2,250(10) ns,"328.84(8)
584.23(9)",(E2)
75,106,181Re,1880.57 (16),25/2+,11.5(9) μs,224.25(12),M2
75,106,181Re,3869.40 (18),(35/2),1.2(2) μs,356.6(1),
75,106,181Re,3990.02 (17),(37/2),22.2(5) ns,"22.6(1)
120.6(1)
278.6(1)",M1
76,105,181Os,49.20 (14),7/2,2.7(1) min,49.2?,
76,105,181Os,156.91 (15),9/2+,262(6) ns,107.73(7),E1
77,104,181Ir,289.33 (13),5/2+,298 ns,289.34(13),E1
77,104,181Ir,366.30 (22),9/2,126(6) ns,"341.5
366.5",M1
77,104,181Ir,2034.3 (4),23/2+,22(4) ns,"54.9
151.8
547.6",
78,103,181Pt,116.65 (8),(7/2),> 300 ns,22.8(1),(M1)
78,103,181Pt,275.99 (10),(9/2)+,99(9) ns,"19.7(3)
40.5(1)
159.42(9)","E1
E1
(E1)"
81,100,181Hg,161.7+Y,(13/2+),0.48(2) ms,,
81,100,181Tl,835.9 (5),(9/2),1.40(3) ms,577.9(3),(E3)
72,110,182Hf,1172.87 (18),(8),61.5(15) min,"50.80(8)
506.60(8)",(E1)
72,110,182Hf,2571.3 (12),(13+),40(10) μs,264,
73,109,182Ta,16.273 (4),5+,283(3) ms,16.273(4)?,(M2)
73,109,182Ta,519.577 (16),10,15.84(10) min,"184.951(15)
356.47(10)","E3
M4"
74,108,182W,2230.65 (14),(10+),1.3(1) μs,"518.5(1)
1086.5(1)",(M1)
74,108,182W,3754.89 (21),(15+),37(2) ns,"19?
356.5(1)
676.8(2)","(M1+E2)
(E2)"
74,108,182W,4040.6 (3),(17),20(1) ns,146.9(1),(E1)
75,107,182Re,0+X,2+,12.7(2) h,,
75,107,182Re,235.732+X,(2),585(30) ns,"180.20(3)
235.75(6)","E1
(E1+M2)"
75,107,182Re,461.3+X,(4),0.78(9) μs,461.3(1),
75,107,182Re,2256.48 (19),(16),82(1) ns,"344.54(8)
647.36(8)","(M1)
(E2)"
76,106,182Os,1831.4 (3),(8),0.78(7) ms,553.5(2),E1
76,106,182Os,7049.5 (4),(25+),150(10) ns,"148.9(5)
187.5(2)
505.6(2)
566.0(2)
726.9(2)
1061.6(5)","(M1+E2)
(M1+E2)"
77,105,182Ir,71.02 (17),(5)+,170(40) ns,"45.3(3)
71.1(3)",M1+E2
77,105,182Ir,176.4 (3),(6),130(50) ns,105.4(3),(E1)
72,111,183Hf,1464 (64),(27/2),10(+485) s @,,
73,110,183Ta,73.174 (12),(9/2),107(11) ns,73.174(12),E1
73,110,183Ta,1310.6+X,,0.9 μs,,
74,109,183W,309.493 (3),11/2+,5.2(3) s,102.481(3),M2
74,109,183W,453.0708 (6),7/2,18.5(4) ns,"40.9755(5)
144.1252(7)
161.3467(5)
244.2648(6)
246.0591(5)
353.9912(5)
406.5865(5)","M1
M1+E2
M1+E2
E2
M1+E2
M1+E2
(E2)"
74,109,183W,1746.55 (11),19/2,12.7(20) ns,"306.5(1)
307.0(1)?
555.6(1)
577.1(1)
830.9(1)?",
75,108,183Re,1907.6 (3),(25/2)+,1.04(4) ms,193.90(18),E2
75,108,183Re,1937+X,(21/2),10(4) ns,,
76,107,183Os,170.71 (5),1/2,9.9(3) h,170.71(5),M4
76,107,183Os,4180.2+X,,~ 30 ns,,
76,107,183Os,5067.54 (15),(43/2),27(3) ns,"133.0(1)
351.3(1)",(E1)
76,107,183Os,5167.43 (15),(43/2+),24(2) ns,"451.3(1)
1079.0(1)",
78,105,183Pt,34.50 (8),(7/2),43(5) s,,
78,105,183Pt,195.68 (11),(9/2)+,> 150 ns,"46.03(9)
161.18(7)",E1
79,104,183Au,73.3 (4),(1/2)+,> 1 μs,60.5(3),E1
80,103,183Hg,266 (20)?,(13/2+),> 8 μs,,
81,102,183Tl,630 (17),(9/2),60(15) ms,,
81,102,183Tl,976.8 (3),(13/2+),1.48(10) μs,"69.3(5)
346.8(3)",
82,101,183Pb,97 (9),(13/2+),415(20) ms,,
72,112,184Hf,1264 (10),(8),"48(10) s
113(+6047) s @",,"E1, M2"
72,112,184Hf,2477 (10),(15+),12(+86) min @,,
74,110,184W,1284.997 (8),5,8.33(18) μs,"63.6890(14)
151.134(20)
279.0?
381.82(14)
536.674(15)
920.933(21)
1173.77(3)","E2
E1+M2+E3
E1+M2+E3
(E3)"
74,110,184W,3863.2 (25),"(14
15,17",188(38) ns,148,(M1)
75,109,184Re,188.0463 (17),8(+),169(8) d,"83.3067(8)
188.0462(17)","M4
(E5)"
76,108,184Os,2366.81 (19),10+,23.6(14) ns,"145.0(2)
495.8(2)
1092.1(2)","E1
M1(+E2)
E2"
76,108,184Os,4756.71 (24),(18),48(5) ns,"280.9(2)
289.1(2)
554.0(2)
634.4(2)",
77,107,184Ir,225.65 (11),3+,470(30) μs,"154.8(1)
225.8(1)","E1+M2
M2"
77,107,184Ir,328.40 (24),(7)+,350(90) ns,"286.5(3)
328.5(3)","(E1(+M2))
M2"
77,107,184Ir,432.49 (11),(2)+,> 10 ns,"89.8(1)
139.1(1)
169.8(1)
206.9(1)",M1(+E2)
78,106,184Pt,1840.3 (8),8,1.01(5) ms,"49(1)
112(1)
610.1(20)","E1
E1"
79,105,184Au,68.46 (4),2+,47.6(14) s,68.46(4),M3
79,105,184Au,228.40 (7),3,69(6) ns,"81.9(1)
141.8(1)
156.5(1)
160.0(1)","E1
(E1+M2)
E1
(E1)"
81,103,184Tl,506.1 (1),10,47.1(7) ms,"506.1(1)
186.2(3)
61","E3
E3
M2"
83,101,184Bi†,"0+X
0+Y",,"13(2) ms
6.6(15) ms",,
73,112,185Ta,175.5 (2),9/2,11.8(21) ns,"22.6?
175.5(2)","E1
E1"
73,112,185Ta,406.0 (10),(3/2+),0.9(3) μs,406,
73,112,185Ta,1273.4 (4),21/2,11.8(14) ms,"14.5?
280.4(2)","M1
E2"
74,111,185W,197.383 (23),11/2+,1.67(3) min,"9.53(6)?
23.54(5)
131.55(2)",E3
74,111,185W,243.62 (5),7/2,19.3(5) ns,"69.7(3)
150.3(2)
177.59(8)
243.7(3)","M1+E2

M1(+E2)"
75,110,185Re,368.3 (5),9/2,33(3) ns,242.9,
75,110,185Re,2123.8 (11),(21/2),121(13) ns,115,E1(+M2)
76,109,185Os,102.37 (11),7/2,3.0(4) μs,"4.9?
64.9?",
76,109,185Os,275.53 (12),11/2+,0.78(5) μs,15.2?,
76,109,185Os,5007.1 (3),(41/2),18(2) ns,426.0(1),
77,108,185Ir,646.6 (3),(11/2,21.5(20) ns,"488.0(5)
640.8(2)",(M1)
77,108,185Ir,2157.2+X,,120(20) ns,,
77,108,185Ir,2614.0+X,,40(10) ns,"99.7(5)
317.6(5)",
78,107,185Pt,103.41 (5),1/2,33.0(8) min,,
78,107,185Pt,200.89 (4),5/2,728(20) ns,"19.8(91)
97.5(1)","M1
E2"
79,106,185Au,0+X,,6.8(3) min,,
79,106,185Au,220.1 (1),(11/2),26(2) ns,211.2(1),M1
80,105,185Hg,103.7 (4),13/2+,21.6(15) s,65.3(5),E3
81,104,185Tl,454.8 (15),(9/2),1.93(8) s,168.8,(E3)
82,103,185Pb,0+X,13/2+,4.3(2) s,,
72,114,186Hf,2968 (43),(17+),> 20 s @,,
73,113,186Ta,336 (20),"(2, 8)","1.54(5) min
3.0(+15−8) min@",,
74,112,186W,1517.2 (6),(7),18(1) μs,"119
195
708",
74,112,186W,3542.8 (21),(16+),7.5(+4833) s @,"180
399",
75,111,186Re,99.361( 3),(3),25.5(25) ns,"40.350(3)
99.362(4)","M1+E2
E2"
75,111,186Re,149 (7),(8+),2.0E+5 y,50(7),(E5)
75,111,186Re,314.009 (5),(3)+,24.1(11) ns,"103.310(6)
167.737(8)
214.648(8)
254.995(15)","(E1)
E1
E1"
75,111,186Re,~ 330?,(5)+,17.3(6) ns,144.152(5),E1
77,109,186Ir,0+X,2,1.90(5) h,≤1.5?,
79,107,186Au,227.77 (7),2+,110(10) ns,"191.6(1)
227.7(1)","E1
E1"
79,107,186Au,455.1+X,(11),39(4) ns,57?,(M1)
80,106,186Hg,2217.3 (4),(8),82(5) μs,"31.6?
241.5
628.1",
81,105,186Tl*,0+X,(7+),27.5(10) s,,
81,105,186Tl,293.7+Y,(3+),11(4) ns,"78.5
293.7(3)",E1
81,105,186Tl,396 (39),(10),2.9(2) s,374.0(2),E3
83,103,186Bi,0+X,(10),9.8(13) ms,,
73,114,187Ta,1793 (10),(27/2),22(9) s @,,
73,114,187Ta,2933 (14),(41/2+),> 5 min @,,
74,113,187W,410.06 (4),11/2+,1.38(7) μs,45.8(3),(E1)
75,112,187Re,206.2473 (10),9/2,555.3(17) ns,"72.002(4)
206.247(1)","E1(+M2)
M2+E3"
75,112,187Re,1681.63 (15),(19/2+),114(23) ns,207.3(1),(E1)
76,111,187Os,100.45 (4),7/2,112(6) ns,"25.62(5)
90.37(10)","M1+E2
E2"
76,111,187Os,257.10 (7),11/2+,231(2) μs,156.63(7),M2+E3
77,110,187Ir,106.478 (24),1/2+,11.5(3) ns,106.44(3),E2
77,110,187Ir,186.16 (4),9/2,30.3(6) ms,"76.09(3)
186.2(1)","M2+E3
E3"
77,110,187Ir,433.75 (6),11/2,152(12) ns,247.61(6),M1
77,110,187Ir,2487.7 (4),29/2,1.8(5) μs,109.8,
78,109,187Pt,57.11 (14),(7/2),18(2) ns,31.6(4),M1
78,109,187Pt,174.38 (22),11/2+,311(15) μs,117.2(4),M2+E3
79,108,187Au,120.33 (14),9/2(),2.3(1) s,101.0(2),E3
79,108,187Au,223.90 (14),(11/2),48(2) ns,103.4(2),M1+E2
79,108,187Au,2431.3 (14),(25/2+),24(3) ns,149.6,(M1+E2)
79,108,187Au,2669.4 (18),(31/2),100(5) ns,508.8,(M1+E2)
80,107,187Hg,54 (7),13/2(+),2.4(3) min,,
80,107,187Hg,161.57 (24),(9/2+),33 ns,161.5(3),
81,106,187Tl,334 (4),(9/2),15.60(12) s,35(4)?,
81,106,187Tl,1434.23+X,,1.11 μs,,
81,106,187Tl,2582.5 (3),"(25/2
27/2,
29/2+)",0.69(4) μs,478.2(2),"(E1, M1,
E2)"
82,105,187Pb,33 (13),(13/2+),18.3(3) s,,
83,104,187Bi,112 (20),(1/2+),0.370(20) ms,,
83,104,187Bi,252 (18),(13/2+),3.2(+7620) μs,252,
73,115,188Ta,291.9+X ?,,3.5(4) μs,291.9(5)?,
74,114,188W,1929.3 (16),8,109.5(35) ns,"184
198","M1
M1"
75,113,188Re,172.069 (9),6,18.59(4) min,"2.63
15.93(1)","(M3)
M3"
75,113,188Re,182.743 (6),,20.3(18) ns,13.3(1)?,
75,113,188Re,230.910 (4),"(2,3)+",21.4(15) ns,"74.864(3)
167.327(4)","(E1)
E1"
76,112,188Os,1771.0 (5),(7),14.0(10) ns,102.3(4),(E2)
77,111,188Ir,923.5+X,(9),4.2(2) ms,,
77,111,188Ir,2642.56+X,(16),12.27(14) ns,88.3(1),
80,108,188Hg,2724.3 (4),(12+),134(15) ns,"61.6(7)
233.3(3)?",
81,107,188Tl†,"0+X
0+Y","(2)
(7+)","71(2) s
71(1) s",,
81,107,188Tl,184.6+X,"(1+,3+)",34 ns,184.6(3),E1
81,107,188Tl,268.8+Y,(9),41(4) ms,268.8(2),M2
82,106,188Pb,2578.2 (7),8,820(60) ns,"103.0(3)
129
278.2(3)
360.2(3)
709.9(3)","M1
E2
E1
E1
E1"
82,106,188Pb,2704.9 (6),11,27(5) ns,335.4(3),
82,106,188Pb,2713.0 (6),12+,99(10) ns,343.5(3),
82,106,188Pb,4783.6 (6),(19),0.44(6) μs,217.8(3),(E2)
83,105,188Bi,0+X,(10),265(10) ms,,
83,105,188Bi,65 (25),,> 5 μs,,
73,116,189Ta,X,,0.58(22) μs,"153.9(5)?
283.7(5)?
342.5(5)?
388.7(5)?
481.6(5)?",
76,113,189Os,30.812 (15),9/2,5.81(6) h,30.810(21),M3+E4
77,112,189Ir,94.34 (3),1/2+,11.4(3) ns,94.34(3),M1+E2
77,112,189Ir,372.17 (4),11/2,13.3(3) ms,"71.69(3)
258.37(6)","M2(+E3)
E3"
77,112,189Ir,2333.2 (5),(25/2)+,3.7(2) ms,"84.4(5)
224(1)
247.6(4)",E1+M2
78,111,189Pt,172.80 (6),9/2,464(25) ns,166.40(5),E2
79,110,189Au,9.92 (11),3/2+,30(4) ns,9.9(2),
79,110,189Au,247.23 (16),11/2,4.59(11) min,,
79,110,189Au,325.11 (16),9/2,190(15) ns,77.9(1),M1+E2
79,110,189Au,2554.7 (12),31/2+,242(10) ns,39,(E2)
80,109,189Hg,100 (50),13/2+,8.6(1) min,,
81,108,189Tl,281 (7),(9/2),1.4(1) min,,
82,107,189Pb,40 (4),(13/2+),50(3) s,,
82,107,189Pb,2474.5 (40),(31/2),22.2(+6914) μs,"193.9(3)
336.7(1)
609.3(3)","M2
E3
(E3)"
83,106,189Bi,184 (8),(1/2+),5.0(1) ms,84?,
83,106,189Bi,357.6 (5),(13/2+),0.88(5) ms,357.6(5),M2
73,117,190Ta,175+X,,42(7) ns,175,
