Z,N,AX,E(keV),J,T1/2,Eγ(keV),λ
37,41,78Rb,46.84 (14),(1),0.91(4) μs,46.8(2),(E1)
37,41,78Rb,111.19 (22),4(),5.74(3) min,"8.6
64.4",(M3)
39,39,78Y,0+X,(5+),5.8(6) s,,
32,47,79Ge,185.95 (4),(7/2+),39.0(10) s,186.02(7),
33,46,79As,772.81 (6),(9/2)+,1.18(4) μs,542.27(7),
34,45,79Se,95.77 (3),1/2,3.92(1) min,95.73(3),E3
35,44,79Br,207.2 (4),9/2+,5.1(4) s,207.2(4),E3
36,43,79Kr,129.77 (5),7/2+,50(3) s,129.76(10),E3
36,43,79Kr,147.06 (6),5/2,78.7(10) ns,"17.3(1)
147.08(10)",E2
37,42,79Rb,39.37 (5),(3/2),20.5(25) ns,39.41(7),(E1)
37,42,79Rb,96.76 (7),9/2+,18.6(5) ns,96.7(1),
38,41,79Sr,177.30 (6),5/2+,20(1) ns,177.30(6),
31,49,80Ga,22.45 (10),3(,1.3(2) s,,
31,49,80Ga,707.90 (11),(1+),18.3(5) ns,685.4 (1),(M2)
35,45,80Br,85.843 (4),5,4.4205(8) h,48.786(5),M3
37,43,80Rb,493.9 (5),6+,1.63(4) μs,"8.0?
21.4?",
37,43,80Rb,650.7 (6),(8+),13.9(14) ns,156.8,
39,41,80Y,228.5 (1),(1),4.8(3) s,228.5(1),M3(+E4)
39,41,80Y,312.6 (9),(2+),4.7(3) μs,84,
32,49,81Ge,679.14 (4),(1/2+),7.6(6) s,,
34,47,81Se,102.966 (10),7/2+,57.28(2) min,102.966 (10),E3(+M4)
35,46,81Br,536.20 (9),9/2+,34.6(28) μs,260.21(9),M2
36,45,81Kr,190.64 (4),1/2,13.10(3) s,190.46(16),E3
37,44,81Rb,86.31 (7),9/2+,30.5(3) min,86.26(19),E3
38,43,81Sr,79.23 (4),(5/2),0.39(5) μs,79.23(4),(E2)
38,43,81Sr,89.05 (7),(7/2+),6.4(5) μs,,(E1)
38,43,81Sr,119.76 (4),(1/2+),24(4) ns,119.76(4),(E1)
31,51,82Ga,141.0 (5),(2),0.098(+109) μs,141.0(5),E2
35,47,82Br,45.9492 (10),2,6.13(5) min,45.949(1),M3
37,45,82Rb,69.0 (15),5,6.472(6) h,,
37,45,82Rb,192.2 (16),6+,12.3(6) ns,123.2(3),E1
39,43,82Y,401.10 (10),4+,11(3) ns,"64.3(3)
87.5(1)
258.7(1)",
39,43,82Y,402.63 (14),4,268(25) ns,"65.7(2)
88.9(2)",
39,43,82Y,405.76 (24),4,35.3(21) ns,68.2(3),
39,43,82Y,507.50 (13),6+,147(7) ns,106.4(1),E2
41,41,82Nb,1180.0 (10),(5+),93(20) ns,124,"(M1,E1 or
E2)"
34,49,83Se,228.5 (2),1/2,70.1(4) s,,
35,48,83Br,3068.8 (6),(19/2),0.7(1) μs,303.4(4),(E1+M2)
36,47,83Kr,9.4053 (8),7/2+,156.94(34) ns,9.4051(8),M1+E2
