"AX","M","Z","E","J","Thalf","Eγ.keV.","λ","TF","Key"
"126SN",126,50,4345.7,"15","160(20) ns","180.5(3)","E2",TRUE,"4345.7;15;160(20) ns"
"126SB",126,51,17.7,"(5+)","19.15(8) min","17.7(3)","(E3)",TRUE,"17.7;(5+);19.15(8) min"
"126SB",126,51,40.4,"(3)","~ 11 s","22.70(7)","(M2)",TRUE,"40.4;(3);~ 11 s"
"126SB",126,51,104.6,"(3+)","553(5) ns","21.646(10)
64.281(10)
86.938(10)","(E1)
(E1)
(E2)",TRUE,"104.6;(3+);553(5) ns"
"126SB",126,51,127.9,"(2+)","78.0(5) ns","23.280(10)
87.567(10)","(M1)
(E1)",TRUE,"127.9;(2+);78.0(5) ns"
"126TE",126,52,2974.4,"10+","10.7(9) ns","208.6(3)","E2",TRUE,"2974.4;10+;10.7(9) ns"
"126I",126,53,56.4,"1+","20 ns","56.4(3)","E1",TRUE,"56.4;1+;20 ns"
"126I",126,53,111,"3+","128 ns","54.6(3)
111.0(3)","E2
E1",TRUE,"111;3+;128 ns"
"126I",126,53,122.2,"4","11 ns","122.2(3)","E2",TRUE,"122.2;4;11 ns"
"126I",126,53,237.4,"6","16 ns","115.2(3)","E2",TRUE,"237.4;6;16 ns"
"126CS",126,55,272.5,"(4)","≥ 1 μs","31
55",NA,TRUE,"272.5;(4);≥ 1 μs"
"126CS",126,55,596.1,NA,"171(14) μs","112
223",NA,TRUE,"596.1;NA;171(14) μs"
"127IN",127,49,408.9,"(1/2)","3.67(4) s",NA,NA,TRUE,"408.9;(1/2);3.67(4) s"
"127IN",127,49,1863,"(21/2)","1.04(10) s",NA,NA,TRUE,"1863;(21/2);1.04(10) s"
"127SN",127,50,5.07,"3/2+","4.13(3) min",NA,NA,TRUE,"5.07;3/2+;4.13(3) min"
"127SN",127,50,1826.67,"(19/2+)","4.52(15) μs","16.52(11)
732.04(11)","E2",TRUE,"1826.67;(19/2+);4.52(15) μs"
"127SN",127,50,1930.97,"(23/2+)","1.19(13) μs","104.30(6)","(E2)",TRUE,"1930.97;(23/2+);1.19(13) μs"
"127SN",127,50,2552.4,"(27/2)","0.25(3) μs","142.0(3)","(E2)",TRUE,"2552.4;(27/2);0.25(3) μs"
"127SB",127,51,1920.19,"(15/2)","11(1) μs","805.9(4)
824.7(4)","(E3)
(M2)",TRUE,"1920.19;(15/2);11(1) μs"
"127SB",127,51,2194.4,"19/2+","14(1) ns","143.3
246.9","E2
E2",TRUE,"2194.4;19/2+;14(1) ns"
"127SB",127,51,2325.2,"23/2+","234(12) ns","130.8","E2",TRUE,"2325.2;23/2+;234(12) ns"
"127TE",127,52,88.23,"11/2","106.1(7) d","88.3(1)","M4",TRUE,"88.23;11/2;106.1(7) d"
"127XE",127,54,297.1,"9/2","69.2(9) s","172.4(1)","E3",TRUE,"297.1;9/2;69.2(9) s"
"127XE",127,54,342.23,"7/2+","36.7(9) ns","45.1(2)
217.48(5)","(E1)
E2",TRUE,"342.23;7/2+;36.7(9) ns"
"127XE",127,54,2729.97,NA,"25(3) ns","486.6(1)",NA,TRUE,"2729.97;NA;25(3) ns"
"127CS",127,55,66.09,"(5/2)+","24.88(30) ns","66.06(14)","E2",TRUE,"66.09;(5/2)+;24.88(30) ns"
"127CS",127,55,452.23,"(11/2)","55(3) μs","179.30(20)
386.3(3)","M2
(E3)",TRUE,"452.23;(11/2);55(3) μs"
"127BA",127,56,80.32,"7/2","1.93(7) s","24.2(1)
80.2(2)","M2
E3",TRUE,"80.32;7/2;1.93(7) s"
"127BA",127,56,81.29,"(5/2)+","75(4) ns","25.1(2)
81.3(2)","M1",TRUE,"81.29;(5/2)+;75(4) ns"
"127LA",127,57,14.2,"(3/2+)","3.7(4) min",NA,NA,TRUE,"14.2;(3/2+);3.7(4) min"
"127CE",127,58,7.3,"(5/2+)","28.6(7) s",NA,NA,TRUE,"7.3;(5/2+);28.6(7) s"
"127CE",127,58,36.8,"(7/2","> 10 μs","29.56(5)",NA,TRUE,"36.8;(7/2;> 10 μs"
"128PD",128,46,2151,"(8+)","5.8 (8) μs","75.1",NA,TRUE,"2151;(8+);5.8 (8) μs"
"128CD",128,48,1870.5,"(5)","270(7) ns","440.3(3)
1224.0(6)",NA,TRUE,"1870.5;(5);270(7) ns"
"128CD",128,48,2108.3,"(7)","12(2) ns","237.9(5)",NA,TRUE,"2108.3;(7);12(2) ns"
"128CD",128,48,2714.6,"(10+)","3.56(6) μs","68.7(1)",NA,TRUE,"2714.6;(10+);3.56(6) μs"
"128IN",128,49,247.9,"1","23(2) μs","247.9(1)",NA,TRUE,"247.9;1;23(2) μs"
"128IN",128,49,340,"(8)","0.72(10) s",NA,NA,TRUE,"340;(8);0.72(10) s"
"128SN",128,50,2091.5,"(7)","6.5(5) s","91.15(10)","E3",TRUE,"2091.5;(7);6.5(5) s"
"128SN",128,50,2491.91,"10+","2.81(15) μs","79.28(15)","E2",TRUE,"2491.91;10+;2.81(15) μs"
"128SN",128,50,4099.5,"15","220(30) ns","119.7(2)","E2?",TRUE,"4099.5;15;220(30) ns"
"128TE",128,52,2788.9,"10+","236(20) ns","101.3(3)","E2",TRUE,"2788.9;10+;236(20) ns"
"128I",128,53,133.6106,"2","12.3(5) ns","48.148(7)
106.2486(7)
133.6106(11)","E1
E1
E1",TRUE,"133.6106;2;12.3(5) ns"
"128I",128,53,137.85,"4","0.845(20) μs","4.240(5)
52.378(5)","E1",TRUE,"137.85;4;0.845(20) μs"
"128I",128,53,167.367,"(6)","175(15) ns","29.512(5)","(E2)",TRUE,"167.367;(6);175(15) ns"
"128XE",128,54,2786.4,"8","73(3) ns","204.0(3)
274.4(4)","M1+E2
(E2)",TRUE,"2786.4;8;73(3) ns"
"129CD",129,48,1940,"(21/2+)","3.6(2) ms","353","(E3)",TRUE,"1940;(21/2+);3.6(2) ms"
"129IN",129,49,451,"(1/2)","1.23(3) s",NA,NA,TRUE,"451;(1/2);1.23(3) s"
"129IN",129,49,1630,"(23/2","0.67(10) s",NA,NA,TRUE,"1630;(23/2;0.67(10) s"
"129IN",129,49,1687.97,"(17/2","8.7(7) μs","333.8(2)","(M2)",TRUE,"1687.97;(17/2;8.7(7) μs"
"129IN",129,49,1911,"(29/2+)","110(15) ms","281.0(2)","(E3)",TRUE,"1911;(29/2+);110(15) ms"
"129SN",129,50,35.15,"11/2","6.9(1) min",NA,"M4",TRUE,"35.15;11/2;6.9(1) min"
"129SN",129,50,1761.6,"(19/2+)","3.40(13) μs","19.7(10)","(E2)",TRUE,"1761.6;(19/2+);3.40(13) μs"
"129SN",129,50,1802.6,"(23/2+)","2.22(14) μs","41.0(2)","(E2)",TRUE,"1802.6;(23/2+);2.22(14) μs"
"129SN",129,50,2552.9,"(27/2","217(19) ns","145.3(3)",NA,TRUE,"2552.9;(27/2;217(19) ns"
"129SB",129,51,1851.31,"(19/2","17.7(1) min","722.69(5)","(M4)",TRUE,"1851.31;(19/2;17.7(1) min"
"129SB",129,51,1861.06,"(15/2","2.2(2) μs","9.76(8)?
699.64(6)
732.48(5)",NA,TRUE,"1861.06;(15/2;2.2(2) μs"
"129SB",129,51,2137.4,"(23/2+)","1.1(1) μs","98.6(2)","E2",TRUE,"2137.4;(23/2+);1.1(1) μs"
"129TE",129,52,105.51,"11/2","33.6(1) d","105.50(5)","M4",TRUE,"105.51;11/2;33.6(1) d"
"129TE",129,52,2137.83,"(23/2+)","33(3) ns","180.4(2)
251.1(2)","(E1)
(E1)",TRUE,"2137.83;(23/2+);33(3) ns"
"129I",129,53,27.793,"5/2+","16.8(2) ns","27.81(5)","M1+E2",TRUE,"27.793;5/2+;16.8(2) ns"
"129XE",129,54,236.14,"11/2","8.88(2) d","196.56(3)","M4",TRUE,"236.14;11/2;8.88(2) d"
"129CS",129,55,6.545,"5/2+","72(6) ns","6.545(1)","E2",TRUE,"6.545;5/2+;72(6) ns"
"129CS",129,55,575.4,"(11/2)","0.718(21) μs","149.1(3)
354.8?
366.1(2)?
386.6(3)
569.2(3)","(E1)
(M2)",TRUE,"575.4;(11/2);0.718(21) μs"
"129BA",129,56,8.42,"7/2+","2.135(10) h","8.4(2)?",NA,TRUE,"8.42;7/2+;2.135(10) h"
"129BA",129,56,182.04,"9/2","15.2(10) ns","173.6(1)","E1",TRUE,"182.04;9/2;15.2(10) ns"
"129BA",129,56,2462.6,"(23/2+)","47(1) ns","126.0(1)
316.3(1)
472.8(1)","(E1)

(E2)",TRUE,"2462.6;(23/2+);47(1) ns"
"129LA",129,57,172.33,"(11/2","0.56(5) s","104.0(3)","E3",TRUE,"172.33;(11/2;0.56(5) s"
"129CE",129,58,107.6,"(7/2","60(2) ns","107.7(2)","(E1)",TRUE,"107.6;(7/2;60(2) ns"
"130CD",130,48,2129.6,"(8+)","0.248(+2119) μs","138.0(5)","E2",TRUE,"2129.6;(8+);0.248(+2119) μs"
"130IN",130,49,50,"(10)","0.54(1) s",NA,NA,TRUE,"50;(10);0.54(1) s"
"130IN",130,49,388.5,"(3+)","5.25(+4035) μs","388.5(5)",NA,TRUE,"388.5;(3+);5.25(+4035) μs"
"130IN",130,49,400,"(5+)","0.54(1) s",NA,NA,TRUE,"400;(5+);0.54(1) s"
"130SN",130,50,2084.84,"(5)","52(3) ns","89.23(3)
137.96(5)","E1
E2",TRUE,"2084.84;(5);52(3) ns"
"130SN",130,50,2434.79,"(10+)","1.501(17) μs","96.54(5)","E2",TRUE,"2434.79;(10+);1.501(17) μs"
"130SB",130,51,4.8,"(4, 5)+","6.3(2) min",NA,NA,TRUE,"4.8;(4, 5)+;6.3(2) min"
"130SB",130,51,84.7,"6","0.8(1) μs","84.7","E2",TRUE,"84.7;6;0.8(1) μs"
"130SB",130,51,1544.7,"(13+)","1.8(2) μs","36.5","E2",TRUE,"1544.7;(13+);1.8(2) μs"
"130TE",130,52,2146.41,"7","110(5) ns","46?
330.7(3)","E1+M2",TRUE,"2146.41;7;110(5) ns"
"130TE",130,52,2664.7,"10+","1.90(8) μs","17.9?",NA,TRUE,"2664.7;10+;1.90(8) μs"
"130TE",130,52,4373.9,"(15","53(8) ns","126.2(3)","E2",TRUE,"4373.9;(15;53(8) ns"
"130I",130,53,39.9525,"2+","8.84(6) min","39.9542(21)","M3",TRUE,"39.9525;2+;8.84(6) min"
"130I",130,53,69.5865,"(6)","133(7) ns","69.5862(7)","E1",TRUE,"69.5865;(6);133(7) ns"
"130I",130,53,82.396,NA,"315(15) ns","12.21?","E2",TRUE,"82.396;NA;315(15) ns"
"130I",130,53,85.1099,"(6)","254(4) ns","85.1104(10)","E1",TRUE,"85.1099;(6);254(4) ns"
"130CS",130,55,163.25,"5","3.46(6) min","14.9(3)
31.5(3)
82.9(1)","E3",TRUE,"163.25;5;3.46(6) min"
"130BA",130,56,2475.12,"8","9.4(4) ms","80.3(2)
462.3(2)
882.3(2)","E1
E3
M2+E3",TRUE,"2475.12;8;9.4(4) ms"
"130LA",130,57,110.44,"(1+, 2,
3+)","17(5) ns","110.4(2)",NA,TRUE,"110.44;(1+, 2,
3+);17(5) ns"
"130LA",130,57,131.01,"1+","77(10) ns","131.1(2)",NA,TRUE,"131.01;1+;77(10) ns"
"130LA",130,57,214,"5+","0.76(9) μs","103.6(2)","(E2)",TRUE,"214;5+;0.76(9) μs"
"130LA",130,57,319.1,"6+","33(1) ns","82.5 (2)
105.1 (2)","(E1)
(M1)",TRUE,"319.1;6+;33(1) ns"
"130CE",130,58,2453.6,"(7)","100(8) ns","72.8
120.5
401.0(5)
499.0(4)
556.1(3)
1129.7(3)",NA,TRUE,"2453.6;(7);100(8) ns"
"131IN",131,49,365,"(1/2)","0.35(5) s",NA,NA,TRUE,"365;(1/2);0.35(5) s"
"131IN",131,49,3764,"(21/2+)","0.32(6) s",NA,NA,TRUE,"3764;(21/2+);0.32(6) s"
"131IN",131,49,3783.6,"(17/2+)","0.685(+4239) μs","3783.6(5)","E4",TRUE,"3783.6;(17/2+);0.685(+4239) μs"
"131SB",131,51,1676.06,"(15/2)","91(4) μs","447.4
450.03(5)
1676.0?","E3
M2",TRUE,"1676.06;(15/2);91(4) μs"
"131SB",131,51,1687.2,"(19/2)","4.3(8) μs","11.2",NA,TRUE,"1687.2;(19/2);4.3(8) μs"
"131SB",131,51,2165.6,"(23/2+)","1.1(2) μs","96.4","E2",TRUE,"2165.6;(23/2+);1.1(2) μs"
"131TE",131,52,182.258,"11/2","32.48(11) h","182.25(2)","(M4)",TRUE,"182.258;11/2;32.48(11) h"
"131TE",131,52,1940,"(23/2+)","93(12) ms","360.3(2)","E3",TRUE,"1940;(23/2+);93(12) ms"
"131I",131,53,1918.4,"19/2","24(1) μs","33?
122.0","E2(+M3)",TRUE,"1918.4;19/2;24(1) μs"
"131I",131,53,2350.3,"23/2+","42(2) ns","116","E2(+M3)",TRUE,"2350.3;23/2+;42(2) ns"
"131I",131,53,4307.4,"(31/2
33/2)","25(3) ns","702.2
1265.6","M2
(E3)",TRUE,"4307.4;(31/2
33/2);25(3) ns"
"131XE",131,54,163.93,"11/2","11.84(4) d","163.930(8)","M4",TRUE,"163.93;11/2;11.84(4) d"
"131XE",131,54,1805.3,"19/2+","14(3) ns","189.1(2)
204.5(3)","E1
E1",TRUE,"1805.3;19/2+;14(3) ns"
"131CS",131,55,775.28,"11/2","10.46(14) ns","117.69(13)?
159.0(5)
279.17(2)","E1",TRUE,"775.28;11/2;10.46(14) ns"
"131BA",131,56,187.995,"9/2","14.26(9) min","79.918(7)","E3",TRUE,"187.995;9/2;14.26(9) min"
"131LA",131,57,304.6,"11/2","170(7) μs","108.9(3)","M2",TRUE,"304.6;11/2;170(7) μs"
"131LA",131,57,2121.8,"(21/2)","38(2) ns","711.3(8)
947.6(1)","M1, E2",TRUE,"2121.8;(21/2);38(2) ns"
"131CE",131,58,63.09,"(1/2+)","5.4(4) min",NA,NA,TRUE,"63.09;(1/2+);5.4(4) min"
"131CE",131,58,161.98,"9/2","88(2) ns","161.98(5)","E1",TRUE,"161.98;9/2;88(2) ns"
"131PR",131,59,152.4,"(11/2)","5.73(20) s","64.8(3)","E3",TRUE,"152.4;(11/2);5.73(20) s"
"131ND",131,60,210.8,"(7/2)","~ 50 ns","210.6(5)","(E1)",TRUE,"210.8;(7/2);~ 50 ns"
"132SN",132,50,4715.91,"(6+)","20.1(5) ns","299.6","(E2)",TRUE,"4715.91;(6+);20.1(5) ns"
"132SN",132,50,4848.52,"(8+)","2.088(17) μs","132.5","(E2)",TRUE,"4848.52;(8+);2.088(17) μs"
"132SB",132,51,85.55,"(3)+","15.62(13) ns","85.58(8)","M1+E2",TRUE,"85.55;(3)+;15.62(13) ns"
"132SB",132,51,254.5,"(6)","102(4) ns","91.7(2)","(E1)",TRUE,"254.5;(6);102(4) ns"
"132TE",132,52,1774.8,"6+","145(8) ns","103.519(4)","E2",TRUE,"1774.8;6+;145(8) ns"
"132TE",132,52,1925.47,"(7)","28.1(15) μs","150.672(10)","E1",TRUE,"1925.47;(7);28.1(15) μs"
"132TE",132,52,2723.3,"(10+)","3.70(9) μs","22(1)
798.0",NA,TRUE,"2723.3;(10+);3.70(9) μs"
"132I",132,53,120,"(8)","1.387(15) h","98.0(10)","E3",TRUE,"120;(8);1.387(15) h"
"132XE",132,54,2214.01,"(7)","87(3) ns","173.7(1)","E2",TRUE,"2214.01;(7);87(3) ns"
"132XE",132,54,2752.21,"(10+)","8.39(11) ms","538.2(1)","E3",TRUE,"2752.21;(10+);8.39(11) ms"
"132LA",132,57,188.2,"6","24.3(5) min","52.8(1)
188.5(3)","M3
E4",TRUE,"188.2;6;24.3(5) min"
"132CE",132,58,2341.15,"(8","9.4(3) ms","11.6
526.8(3)
798.5(2)",NA,TRUE,"2341.15;(8;9.4(3) ms"
"133IN",133,49,330,"(1/2)","180(15) ms *",NA,NA,TRUE,"330;(1/2);180(15) ms *"
"133SB",133,51,4560,"(21/2+)","16.54(19) μs @",NA,NA,TRUE,"4560;(21/2+);16.54(19) μs @"
"133TE",133,52,334.26,"(11/2)","55.4(4) min","334.27(4)","M4",TRUE,"334.26;(11/2);55.4(4) min"
"133TE",133,52,1610.4,"(19/2)","100(5) ns","125.5(3)",NA,TRUE,"1610.4;(19/2);100(5) ns"
"133I",133,53,1634.148,"(19/2)","9(2) s","74.05(1)","(M2)",TRUE,"1634.148;(19/2);9(2) s"
"133I",133,53,1729.137,"(15/2)","~ 170 ns","94.989(2)
169.025(5)","E2
(E1)",TRUE,"1729.137;(15/2);~ 170 ns"
"133I",133,53,2435,"(19/2+)","0.78(16) μs","353.9(3)
707
874.9(3)","E2(+M3)",TRUE,"2435;(19/2+);0.78(16) μs"
"133I",133,53,2493.7,"(23/2+)","469(15) ns","58.7(3)","E2",TRUE,"2493.7;(23/2+);469(15) ns"
"133XE",133,54,233.221,"11/2","2.198(13) d","233.221(15)","M4+E5",TRUE,"233.221;11/2;2.198(13) d"
"133BA",133,56,288.252,"11/2","38.93(10) h","275.925(7)
288(1)","M4",TRUE,"288.252;11/2;38.93(10) h"
"133LA",133,57,535.595,"11/2","62(4) ns","58.39(3)
404.78(4)
535","E1
M2",TRUE,"535.595;11/2;62(4) ns"
"133CE",133,58,37.2,"9/2","5.326(11) h",NA,NA,TRUE,"37.2;9/2;5.326(11) h"
"133PR",133,59,192.12,"(11/2)","1.1(2) s","130.4(2)","E3",TRUE,"192.12;(11/2);1.1(2) s"
"133ND",133,60,127.97,"(1/2+)","~ 70 s","127.9(6)","M3",TRUE,"127.97;(1/2+);~ 70 s"
"133ND",133,60,176.1,"(9/2)","291(4) ns","176.1(1)","E1",TRUE,"176.1;(9/2);291(4) ns"
"133ND",133,60,353.62,"(3/2)","46(9) ns","62.3(3)
180.6(1)","E1",TRUE,"353.62;(3/2);46(9) ns"
"134SN",134,50,1246.3,"6+","0.086(+87) μs","174.1(5)","(E2)",TRUE,"1246.3;6+;0.086(+87) μs"
"134SB",134,51,279,"(7)","10.07(5) s",NA,NA,TRUE,"279;(7);10.07(5) s"
"134TE",134,52,1691.34,"6+","164.1(9) ns","115.2(1)","E2",TRUE,"1691.34;6+;164.1(9) ns"
"134TE",134,52,5804,"(12+)","18(2) ns","182.6(2)",NA,TRUE,"5804;(12+);18(2) ns"
"134I",134,53,316.49,"(8)","3.52(4) min","272.1(1)
316.3(10)?","E3",TRUE,"316.49;(8);3.52(4) min"
"134XE",134,54,1965.5,"7","290(17) ms","234.3(5)","E3",TRUE,"1965.5;7;290(17) ms"
"134XE",134,54,3025.2,"(10+)","5(1) μs","28(1)","E2",TRUE,"3025.2;(10+);5(1) μs"
"134CS",134,55,11.2442,"5+","46.6(6) ns","11.242(7)","M1+E2",TRUE,"11.2442;5+;46.6(6) ns"
"134CS",134,55,138.7441,"8","2.912(2) h","127.5021(28)
138.733(11)","E3
M4",TRUE,"138.7441;8;2.912(2) h"
"134CS",134,55,176.4044,"34","49.7(8) ns","116.3755(26)
176.4047(24)","E1
E1",TRUE,"176.4044;34;49.7(8) ns"
"134CS",134,55,257.1075,"6","12.3(11) ns","63.490(4)
118.367(4)
245.861(4)","E2
E2
E1",TRUE,"257.1075;6;12.3(11) ns"
"134BA",134,56,1986.35,"5","52(6) ns","16
585.5(3)
1382.0(3)","E1",TRUE,"1986.35;5;52(6) ns"
"134BA",134,56,2957.2,"(10+)","2.63(14) μs","121.3(3)","E2",TRUE,"2957.2;(10+);2.63(14) μs"
"134CE",134,58,3208.6,"10+","308(5) ns","190.8(3)
397.4(3)","E2
E2",TRUE,"3208.6;10+;308(5) ns"
"134PR",134,59,67.7,"(6)","~ 11 min",NA,NA,TRUE,"67.7;(6);~ 11 min"
"134ND",134,60,2293,"(8)","410(30) μs","166.5(3)
874","E1",TRUE,"2293;(8);410(30) μs"
"135SB",135,51,1342.3,"(19/2+)","~ 20 ns","224.9",NA,TRUE,"1342.3;(19/2+);~ 20 ns"
"135TE",135,52,1554.89,"(19/2)","0.511(20) μs","50.0(1)","E2",TRUE,"1554.89;(19/2);0.511(20) μs"
"135XE",135,54,526.551,"11/2","15.29(5) min","526.561(17)","M4",TRUE,"526.551;11/2;15.29(5) min"
"135CS",135,55,1632.9,"19/2","53(2) min","846.1","M4",TRUE,"1632.9;19/2;53(2) min"
"135BA",135,56,268.218,"11/2","28.7(2) h","268.218 (20)","M4",TRUE,"268.218;11/2;28.7(2) h"
"135LA",135,57,2738.43,"(23/2+)","28.4(8) ns","470.6(1)",NA,TRUE,"2738.43;(23/2+);28.4(8) ns"
"135CE",135,58,445.81,"(11/2)","20(1) s","149.7(2)","E3",TRUE,"445.81;(11/2);20(1) s"
"135PR",135,59,358.06,"(11/2","105(10) μs","112.60(5)
316.6(1)","M2
E3",TRUE,"358.06;(11/2;105(10) μs"
"137XE",137,54,1935.2,"19/2","10.1(9) ns","314.10(10)","(E2)",TRUE,"1935.2;19/2;10.1(9) ns"
"137BA",137,56,661.659,"11/2","2.552(1) min","378.0(4)
661.657(3)","E5
M4",TRUE,"661.659;11/2;2.552(1) min"
"137BA",137,56,2349.1,"(17/2)","0.59(10) μs","120.2(3)","E2",TRUE,"2349.1;(17/2);0.59(10) μs"
"137LA",137,57,10.59,"5/2+","89(4) ns","10.61(5)","M1",TRUE,"10.59;5/2+;89(4) ns"
"137LA",137,57,1869.5,"19/2","342(25) ns","83.2","E2",TRUE,"1869.5;19/2;342(25) ns"
"137CE",137,58,254.29,"11/2","34.80(3) h","254.29(5)","M4",TRUE,"254.29;11/2;34.80(3) h"
"137PR",137,59,561.22,"11/2","2.66(7) μs","331.3(2)
563.4(2)","M2",TRUE,"561.22;11/2;2.66(7) μs"
"137ND",137,60,519.43,"11/2","1.60(15) s","233.5(2)","E3",TRUE,"519.43;11/2;1.60(15) s"
"138SN",138,50,1344,"(6+)","210(45) ns","168(1)",NA,TRUE,"1344;(6+);210(45) ns"
"138CS",138,55,79.9,"6","2.91(8) min","79.9(3)","M3",TRUE,"79.9;6;2.91(8) min"
"138BA",138,56,2090.54,"6+","0.8(1) μs","191.96(6)","E2",TRUE,"2090.54;6+;0.8(1) μs"
"138LA",138,57,72.57,"(3)+","116(5) ns","72.57(3)","(E2)",TRUE,"72.57;(3)+;116(5) ns"
"138LA",138,57,739.2,"7","2.0(3) μs","739.2 (5)","M2",TRUE,"739.2;7;2.0(3) μs"
"138CE",138,58,2129.17,"7","8.65(20) ms","302.7(1)","E3",TRUE,"2129.17;7;8.65(20) ms"
"138CE",138,58,3539.1,"10+","81(2) ns","430.1(2)","E2",TRUE,"3539.1;10+;81(2) ns"
"138PR",138,59,364,"7","2.12(4) h",NA,NA,TRUE,"364;7;2.12(4) h"
"138ND",138,60,3174.9,"10+","370(5) ns","66.6(3)","E2",TRUE,"3174.9;10+;370(5) ns"
"138PM",138,61,20,NA,"3.24(5) min",NA,NA,TRUE,"20;NA;3.24(5) min"
"138GD",138,64,2233.1,"(8","6.2(2) μs","583.2(3)","(E1)",TRUE,"2233.1;(8;6.2(2) μs"
"139LA",139,57,1799.9,"(17/2+)","315(35) ns","88.7(5)",NA,TRUE,"1799.9;(17/2+);315(35) ns"
"139CE",139,58,754.24,"11/2","57.58(32) s","754.24(8)","M4",TRUE,"754.24;11/2;57.58(32) s"
"139CE",139,58,2631,"(19/2)","70(5) ns","269.2","(E2)",TRUE,"2631;(19/2);70(5) ns"
"139PR",139,59,821.98,"11/2","43.4(16) ns","708.06(6)
821.9(2)","M2+E3
E3",TRUE,"821.98;11/2;43.4(16) ns"
"139ND",139,60,231.15,"11/2","5.50(20) h","231.15(5)","M4",TRUE,"231.15;11/2;5.50(20) h"
"139PM",139,61,188.7,"11/2","180(20) ms","188.7(3)","E3",TRUE,"188.7;11/2;180(20) ms"
"139SM",139,62,457.4,"11/2","10.7(6) s","190.1(2)","E3",TRUE,"457.4;11/2;10.7(6) s"
"139EU",139,63,148.2,"(7/2+)","10(2) μs","26.4(2)","(E1)",TRUE,"148.2;(7/2+);10(2) μs"
"140CS",140,55,13.931,"(2)","471(51) ns","13.93(5)","M1",TRUE,"13.931;(2);471(51) ns"
"140CE",140,58,2107.86,"6+","7.3(15) μs","24.595(4)","E2",TRUE,"2107.86;6+;7.3(15) μs"
"140CE",140,58,3715.3,"10+","23.1(4) ns","202.3
222.4","E2
E1",TRUE,"3715.3;10+;23.1(4) ns"
"140PR",140,59,127.8,"5+","0.35(2) μs","98.5(3)","E2",TRUE,"127.8;5+;0.35(2) μs"
"140PR",140,59,763.7,"(7)","3.05(20) μs","635.9(3)","(M2, E3)",TRUE,"763.7;(7);3.05(20) μs"
"140ND",140,60,2221.4,"7","0.60(5) ms","419.57(5)","E3",TRUE,"2221.4;7;0.60(5) ms"
"140ND",140,60,3621.2,"10+","22(1) ns","166.57(4)","E1",TRUE,"3621.2;10+;22(1) ns"
"140ND",140,60,7431.3,"20+","1.2(1) μs","37.0
228.0(2)
1027.0(5)",NA,TRUE,"7431.3;20+;1.2(1) μs"
"140SM",140,62,3172.1,"10+","19.4(7) ns","44?
202.6(2)","E2",TRUE,"3172.1;10+;19.4(7) ns"
"140SM",140,62,3652.8,"12+","15.2(21) ns","441.9(1)","E2",TRUE,"3652.8;12+;15.2(21) ns"
"140DY",140,66,2166.1,"(8)","7.0(5) μs","573.8(2)?","(E1)",TRUE,"2166.1;(8);7.0(5) μs"
"141CS",141,55,69.05,"(3/2)+","23.3(7) ns","69.05(3)","(E2)",TRUE,"69.05;(3/2)+;23.3(7) ns"
"141ND",141,60,756.51,"11/2","62.0(8) s","756.51(5)","M4",TRUE,"756.51;11/2;62.0(8) s"
"141PM",141,61,628.62,"11/2","0.63(2) μs","431.6(1)
628.6(1)","M2
E3",TRUE,"628.62;11/2;0.63(2) μs"
"141PM",141,61,2349.52,"19/2(","54(5) ns","110.5(1)",NA,TRUE,"2349.52;19/2(;54(5) ns"
"141PM",141,61,2530.75,NA,"> 2 μs","639.0(1)
1020.3(3)",NA,TRUE,"2530.75;NA;> 2 μs"
"141SM",141,62,175.9,"11/2","22.6(2) min","174.2(3)","M4",TRUE,"175.9;11/2;22.6(2) min"
"141EU",141,63,96.45,"11/2","2.7(3) s","96.4(1)","E3",TRUE,"96.45;11/2;2.7(3) s"
"141GD",141,64,377.76,"11/2","24.5(5) s","119.6(1)","E3",TRUE,"377.76;11/2;24.5(5) s"
"141HO",141,67,66,"1/2+","7.3(3) μs",NA,NA,TRUE,"66;1/2+;7.3(3) μs"
"142LA",142,57,145.82,"(4)","0.87(17) μs","68.3(1)","E2",TRUE,"145.82;(4);0.87(17) μs"
"142PR",142,59,3.694,"5","14.6(5) min","3.683(4)?","M3",TRUE,"3.694;5;14.6(5) min"
"142PR",142,59,911.4,"(9+)","61(6) ns","553",NA,TRUE,"911.4;(9+);61(6) ns"
"142ND",142,60,2100.787,"4+","28(2) ns","16.9
525.009(10)",NA,TRUE,"2100.787;4+;28(2) ns"
"142ND",142,60,2209.303,"6+","16.5 μs","108.52(2)",NA,TRUE,"2209.303;6+;16.5 μs"
"142PM",142,61,449.47,"(5)+","16.5(15) ns","37.5
208.5(1)",NA,TRUE,"449.47;(5)+;16.5(15) ns"
"142PM",142,61,883.17,"(8)","2.0(2) ms","433.7(1)","E3",TRUE,"883.17;(8);2.0(2) ms"
"142PM",142,61,2828.7,"(13)","67(5) μs","638.6(3)
1019.4",NA,TRUE,"2828.7;(13);67(5) μs"
"142SM",142,62,2372.1,"7","142.1(28) ns","24.1(3)
580.7(4)?","E2",TRUE,"2372.1;7;142.1(28) ns"
"142SM",142,62,3662.2,"10+","480(60) ns","275.1
336.0
1290.3",NA,TRUE,"3662.2;10+;480(60) ns"
"142SM",142,62,6657.9,"17+","41.6(14) ns","351.8(1)","M1",TRUE,"6657.9;17+;41.6(14) ns"
