"q","Occ_after","Occ_equiv","fq","n","kappa","J_final","subshell","Capture_Config","Eres_eV","Vi_keV","GS","ICC","ICC_sum","Y_neec_SI","Ypdb","Ar","S_neec_beV","Spdb","Ratio","R_neec_p","sigma_b","shell","Gamma_neec_p"
33,10,19,0,3,2,0,"M4","3d3/2",3143.7686909,1.7062313091,FALSE,2206.33913043461,0,7.6963918715,518.986023799459,0.287497167847221,1.2079485473e-08,8.14774910726982e-07,67.4511271649908,0,0.0591541484010674,"M",1.3e-07
33,10,20,0,3,2,3,"M4","3d3/2",3150.7854184,1.6992145816,FALSE,1558.40543478249,0,52.719003465,1283.01547172881,0.287497167847221,8.2529653468e-08,2.00975289817307e-06,24.3518882452636,0,0.404153916956719,"M",1.3e-07
33,10,21,0,3,2,1,"M4","3d3/2",3151.2360399,1.6987639601,FALSE,971.645652173837,0,22.572099751,342.832957958099,0.287497167847221,3.5333105018e-08,5.36946526384388e-07,15.1966980006667,0,0.173028871335377,"M",1.3e-07
33,10,22,0,3,2,2,"M4","3d3/2",3153.7711903,1.6962288097,FALSE,453.706521739095,0,37.558188969,266.807740978234,0.287497167847221,5.8741774383e-08,4.17538547837158e-07,7.10803431157493,0,0.287662884893641,"M",1.3e-07
33,10,23,0,3,-3,4,"M5","3d5/2",3153.7906168,1.6962093832,FALSE,2277.94782608678,0,63.660751012,2411.2357922181,0.287497167847221,9.9589876077e-08,3.77342001731603e-06,37.8895944643864,0,0.487699109525041,"M",1.3e-07
33,10,24,0,3,-3,2,"M5","3d5/2",3156.6531573,1.6933468427,FALSE,1735.7101449274,0,35.153731802,1020.70585405292,0.287497167847221,5.4930809818e-08,1.59588227588894e-06,29.0525896336957,0,0.269000304940785,"M",1.3e-07
33,10,25,0,3,-3,3,"M5","3d5/2",3161.6377471,1.6883622529,FALSE,1285.98260869555,0,48.517724579,1058.73320671579,0.287497167847221,7.5691193366e-08,1.6527205485998e-06,21.8350441458648,0,0.370665463776104,"M",1.3e-07
33,10,26,0,3,-3,1,"M5","3d5/2",3174.5582876,1.6754417124,FALSE,887.547826086889,0,19.409751417,313.160096858242,0.287497167847221,3.0159024097e-08,4.86858369522068e-07,16.1430412322426,0,0.147691008118927,"M",1.3e-07
32,11,11,0,3,-1,0.5,"M1","3s",3059.8637715,1.7901362285,TRUE,644.7348,0,45.459556015,151.657714646627,0.287497167847221,7.3282789208e-08,2.44641723785586e-07,3.33832440644712,0,0.35887132756968,"M",1.3e-07
32,11,12,0,3,1,0.5,"M1","3s",3130.2006792,1.7197993208,FALSE,311.418,0,3595.9038955,73.2532851954375,0.287497167847221,5.6659832275e-06,1.15502993930364e-07,0.0203853398947189,0,27.7467457886891,"M",1.3e-07
32,11,13,0,3,-2,1.5,"M2","3p1/2",3156.8878039,1.6931121961,FALSE,95219.999999981,0,6409.5929766,44796.2405275749,0.287497167847221,1.0013830875e-05,7.00340807630625e-05,6.99373512867147,0,49.0384825551535,"M",1.3e-07
32,11,14,0,3,2,1.5,"M2","3p1/2",3249.097466,1.600902534,FALSE,46109.9999999907,0,108.76054398,21692.4453972535,0.287497167847221,1.6508489804e-07,3.29483543562276e-05,199.584303273121,0,0.808433155473463,"M",1.3e-07
32,11,15,0,3,-3,2.5,"M3","3p3/2",3254.5047278,1.5954952722,FALSE,162319.487179446,0,152.1184349,114544.782451237,0.287497167847221,2.3051189733e-07,0.00017369050158644,753.499075745256,0,1.1288340892788,"M",1.3e-07
32,11,16,0,4,-1,0.5,"M3","3p3/2",3881.5794013,0.9684205987,FALSE,115336.211538432,0,14.644155385,27129.9552279767,0.287497167847221,1.8594577652e-08,3.44715450983518e-05,1853.84931798352,0,0.0910590445545197,"M",1.3e-07
32,11,17,0,4,1,0.5,"M3","3p3/2",3910.4665087,0.9395334913,FALSE,73254.7179486993,0,1488.7116919,17231.3377704802,0.287497167847221,1.8762741169e-06,2.17319323673827e-05,11.5824932890341,0,9.18825539384664,"M",1.3e-07
32,11,18,0,4,-2,1.5,"M3","3p3/2",3921.1982952,0.9288017048,FALSE,35056.3461538372,0,2674.5319095,16492.2549288545,0.287497167847221,3.3615463104e-06,2.07426677736782e-05,6.17057325954553,0,16.4617449763841,"M",1.3e-07
32,11,19,0,4,2,1.5,"M4","3d3/2",3955.8368573,0.8941631427,FALSE,2206.33913043461,0,52.813091084,1037.97204759892,0.287497167847221,6.5796411879e-08,1.29400514049134e-06,19.6668040632827,0,0.322209975023174,"M",1.3e-07
32,11,20,0,4,-3,2.5,"M4","3d3/2",3958.2647346,0.8917352654,FALSE,1558.40543478249,0,73.733519725,1099.72754719613,0.287497167847221,9.1803257249e-08,1.37014949539487e-06,14.924846203208,0,0.449567451788161,"M",1.3e-07
32,11,21,0,4,3,2.5,"M4","3d3/2",3975.9591535,0.8740408465,FALSE,971.645652173837,0,3.3609293645,685.665915916198,0.287497167847221,4.1658897882e-09,8.50454035787097e-07,204.147031972865,0,0.0204006754513255,"M",1.3e-07
32,11,22,0,4,-4,3.5,"M4","3d3/2",3976.948188,0.873051812,FALSE,453.706521739095,0,4.3302609711,426.892385565174,0.287497167847221,5.3660414743e-09,5.29356506891232e-07,98.6493506296065,0,0.0262779084760297,"M",1.3e-07
32,11,23,0,5,-1,0.5,"M5","3d5/2",4243.7359741,0.6062640259,FALSE,2277.94782608678,0,6.6987789079,535.830176048466,0.287497167847221,7.7772188902e-09,6.22509076486672e-07,80.0426328839851,0,0.0380856255348614,"M",1.3e-07
