Z,Ebind,Occ,Element,subshell,CCp,Eic,Vi_q0,nmax,nh,shell_colours,multiplier
20,1.0868,4,Calcium,L1,1.651E-06,1999.56,0.440000000000055,2,1,"rgb(25,25,112)",1.23499999999985
20,0.9737,5,Calcium,L2,3.38E-09,1999.65,0.349999999999909,2,2,"rgb(0,0,139)",2.78200000000072
20,0.894,6,Calcium,L2,3.38E-09,1999.65,0.349999999999909,2,1,"rgb(0,0,139)",1.27714285714319
20,0.8172,7,Calcium,L3,5.77E-09,1999.65,0.349999999999909,4,4,"rgb(0,0,205)",2.33485714285775
20,0.7286,8,Calcium,L3,5.77E-09,1999.65,0.349999999999909,4,3,"rgb(0,0,205)",1.56128571428612
20,0.6582,9,Calcium,L3,5.77E-09,1999.65,0.349999999999909,4,2,"rgb(0,0,205)",0.940285714285959
20,0.5916,10,Calcium,L3,5.77E-09,1999.65,0.349999999999909,4,1,"rgb(0,0,205)",0.422571428571538
20,0.211275,11,Calcium,M1,1.96E-07,1999.96,0.039999999999964,2,2,"rgb(0,0,255)",5.2818750000048
20,0.18854,12,Calcium,M1,1.96E-07,1999.96,0.039999999999964,2,1,"rgb(0,0,255)",2.35675000000214
20,0.14724,13,Calcium,M2,3.58E-10,1999.97,0.029999999999973,2,2,"rgb(65,105,225)",4.90800000000446
20,0.12721,14,Calcium,M2,3.58E-10,1999.97,0.029999999999973,2,1,"rgb(65,105,225)",2.12016666666859
20,0.10878,15,Calcium,M3,6.11E-10,1999.97,0.029999999999973,4,4,"rgb(70,130,180)",3.6260000000033
20,0.08434,16,Calcium,M3,6.11E-10,1999.97,0.029999999999973,4,3,"rgb(70,130,180)",2.10850000000192
20,0.0672732,17,Calcium,M3,6.11E-10,1999.97,0.029999999999973,4,2,"rgb(70,130,180)",1.12122000000102
20,0.05091316,18,Calcium,M3,6.11E-10,1999.97,0.029999999999973,4,1,"rgb(70,130,180)",0.424276333333719
20,0.011871719,19,Calcium,N1,1.121E-08,2000,0.011871719,2,2,"rgb(0,128,128)",1
20,0.00611315547,20,Calcium,N1,1.121E-08,2000,0.00611315547,2,2,"rgb(0,128,128)",1
21,6.0337542,1,Scandium,K,2.23E-05,1995.51,4.49000000000001,2,2,"rgb(123,104,238)",1.34382053452116
21,5.6749037,2,Scandium,K,2.23E-05,1995.51,4.49000000000001,2,1,"rgb(123,104,238)",0.631949187082404
21,1.287957,3,Scandium,L1,1.94E-06,1999.5,0.5,2,2,"rgb(25,25,112)",2.575914
21,1.2131,4,Scandium,L1,1.94E-06,1999.5,0.5,2,1,"rgb(25,25,112)",1.2131
21,1.0935,5,Scandium,L2,4.5E-09,1999.59,0.410000000000082,2,2,"rgb(0,0,139)",2.66707317073117
21,1.0086,6,Scandium,L2,4.5E-09,1999.59,0.410000000000082,2,1,"rgb(0,0,139)",1.22999999999975
21,0.9265,7,Scandium,L3,7.54E-09,1999.6,0.400000000000091,4,4,"rgb(0,0,205)",2.31624999999947
21,0.8332,8,Scandium,L3,7.54E-09,1999.6,0.400000000000091,4,3,"rgb(0,0,205)",1.56224999999964
21,0.7577,9,Scandium,L3,7.54E-09,1999.6,0.400000000000091,4,2,"rgb(0,0,205)",0.947124999999785
21,0.68736,10,Scandium,L3,7.54E-09,1999.6,0.400000000000091,4,1,"rgb(0,0,205)",0.429599999999902
21,0.249798,11,Scandium,M1,2.41E-07,1999.95,0.049999999999955,2,2,"rgb(0,0,255)",4.99596000000454
21,0.22518,12,Scandium,M1,2.41E-07,1999.95,0.049999999999955,2,1,"rgb(0,0,255)",2.25180000000205
21,0.18003,13,Scandium,M2,5.07E-10,1999.97,0.029999999999973,2,2,"rgb(65,105,225)",6.00100000000546
21,0.15808,14,Scandium,M2,5.07E-10,1999.97,0.029999999999973,2,1,"rgb(65,105,225)",2.63466666666906
21,0.13799,15,Scandium,M3,8.49E-10,1999.97,0.029999999999973,4,4,"rgb(70,130,180)",4.59966666667085
21,0.11068,16,Scandium,M3,8.49E-10,1999.97,0.029999999999973,4,3,"rgb(70,130,180)",2.76700000000252
21,0.09195,17,Scandium,M3,8.49E-10,1999.97,0.029999999999973,4,2,"rgb(70,130,180)",1.53250000000139
21,0.0734894,18,Scandium,M3,8.49E-10,1999.97,0.029999999999973,4,1,"rgb(70,130,180)",0.612411666667224
21,0.024756839,19,Scandium,M4,2.3E-14,1999.99,0.009999999999991,4,2,"rgb(100,149,237)",1.23784195000113
21,0.01279977,20,Scandium,M4,2.3E-14,1999.99,0.009999999999991,4,2,"rgb(100,149,237)",0.639988500000582
21,0.00656149,21,Scandium,M4,2.3E-14,1999.99,0.009999999999991,4,2,"rgb(100,149,237)",0.328074500000298
22,6.6258073,1,Titanium,K,2.55E-05,1995.03,4.97000000000003,2,2,"rgb(123,104,238)",1.3331604225352
22,6.2490226,2,Titanium,K,2.55E-05,1995.03,4.97000000000003,2,1,"rgb(123,104,238)",0.628674305835007
22,1.425257,3,Titanium,L1,2.26E-06,1999.44,0.559999999999945,2,2,"rgb(25,25,112)",2.54510178571453
22,1.3463,4,Titanium,L1,2.26E-06,1999.44,0.559999999999945,2,1,"rgb(25,25,112)",1.20205357142869
22,1.2203,5,Titanium,L2,5.9E-09,1999.54,0.460000000000036,2,2,"rgb(0,0,139)",2.65282608695631
22,1.1302,6,Titanium,L2,5.9E-09,1999.54,0.460000000000036,2,1,"rgb(0,0,139)",1.22847826086947
22,1.0425,7,Titanium,L3,9.7E-09,1999.54,0.460000000000036,4,4,"rgb(0,0,205)",2.26630434782591
