"Z","Species","CS","Occ","Element","Iso_elec","Ground_Shells","Ground_Config","Ground_Level","Ionized_Level","IE","IE_uncertainty","References"
16,"S XIII",12,4,"Sulfur","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.65196,0.00012,"L11770"
16,"S XIV",13,3,"Sulfur","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.706994,7e-06,"L16264c99"
16,"S XV",14,2,"Sulfur","He","1s2","1s2","1S0","1s 2S1/2",3.2237807,3e-07,"L12128"
16,"S XVI",15,1,"Sulfur","H","1s","1s","2S1/2",NA,3.4941879,5e-07,"L7188"
17,"Cl I",0,17,"Chlorine","Cl","Ne3s23p5","3s23p5","2P°3/2","3p4 3P2",0.012967633,1.6e-08,"L19191"
17,"Cl II",1,16,"Chlorine","S","Ne3s23p4","3s23p4","3P2","3p3 4S°3/2",0.02381364,1.2e-07,"L1617"
17,"Cl III",2,15,"Chlorine","P","Ne3s23p3","3s23p3","4S°3/2","3p2 3P0",0.0398,0.00011,"L11770"
17,"Cl IV",3,14,"Chlorine","Si","Ne3s23p2","3s23p2","3P0","3p 2P°1/2",0.05324,0.00012,"L11770"
17,"Cl V",4,13,"Chlorine","Al","Ne3s23p","3s23p","2P°1/2","3s2 1S0",0.06768,1e-04,"L11770"
17,"Cl VI",5,12,"Chlorine","Mg","Ne3s2","2p63s2","1S0","3s 2S1/2",0.09694,4e-05,"L11770"
17,"Cl VII",6,11,"Chlorine","Na","Ne3s","2p63s","2S1/2","2p6 1S0",0.1142013,6e-07,"L6356"
17,"Cl VIII",7,10,"Chlorine","Ne","1s22s22p6","2s22p6","1S0","2p5 2P°3/2",0.348306,7e-06,"L6972"
17,"Cl IX",8,9,"Chlorine","F","1s22s22p5","2s22p5","2P°3/2","2p4 3P2",0.400851,1.2e-05,"L9369"
17,"Cl X",9,8,"Chlorine","O","1s22s22p4","2s22p4","3P2","2p3 4S°3/2",0.4567,4e-04,"L11770"
17,"Cl XI",10,7,"Chlorine","N","1s22s22p3","2s22p3","4S°3/2","2p2 3P0",0.53,4e-04,"L11770"
17,"Cl XII",11,6,"Chlorine","C","1s22s22p2","2s22p2","3P0","2p 2P°1/2",0.59158,0.00019,"L11770"
17,"Cl XIII",12,5,"Chlorine","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.6563,0.00012,"L11770"
17,"Cl XIV",13,4,"Chlorine","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.75023,0.00019,"L11770"
17,"Cl XV",14,3,"Chlorine","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.809198,7e-06,"L16264c99"
17,"Cl XVI",15,2,"Chlorine","He","1s2","1s2","1S0","1s 2S1/2",3.6583438,3e-07,"L12128"
17,"Cl XVII",16,1,"Chlorine","H","1s","1s","2S1/2",NA,3.9462909,6e-07,"L7188"
18,"Ar I",0,18,"Argon","Ar","Ne3s23p6","3s23p6","1S0","3p5 2P°3/2",0.0157596119,5e-10,"L9217"
18,"Ar II",1,17,"Argon","Cl","Ne3s23p5","3s23p5","2P°3/2","3p4 3P2",0.02762967,1.2e-07,"L8844"
18,"Ar III",2,16,"Argon","S","Ne3s23p4","3s23p4","3P2","3p3 4S°3/2",0.040735,1.2e-05,"L8114"
18,"Ar IV",3,15,"Argon","P","Ne3s23p3","3s23p3","4S°3/2","3p2 3P0",0.05958,0.00018,"L11770"
18,"Ar V",4,14,"Argon","Si","Ne3s23p2","3s23p2","3P0","3p 2P°1/2",0.07484,0.00017,"L11770"
18,"Ar VI",5,13,"Argon","Al","Ne3s23p","3s23p","2P°1/2","3s2 1S0",0.09129,1e-05,"L12277"
18,"Ar VII",6,12,"Argon","Mg","Ne3s2","2p63s2","1S0","3s 2S1/2",0.12441,6e-05,"L11770"
18,"Ar VIII",7,11,"Argon","Na","Ne3s","2p63s","2S1/2","2p6 1S0",0.1434567,1.2e-06,"L4344"
18,"Ar IX",8,10,"Argon","Ne","1s22s22p6","2s22p6","1S0","2p5 2P°3/2",0.4226,6e-05,"L11770"
18,"Ar X",9,9,"Argon","F","1s22s22p5","2s22p5","2P°3/2","2p4 3P2",0.47976,0.00012,"L11242c99"
18,"Ar XI",10,8,"Argon","O","1s22s22p4","2s22p4","3P2","2p3 4S°3/2",0.5404,6e-04,"L11770"
18,"Ar XII",11,7,"Argon","N","1s22s22p3","2s22p3","4S°3/2","2p2 3P0",0.619,4e-04,"L11770"
18,"Ar XIII",12,6,"Argon","C","1s22s22p2","2s22p2","3P0","2p 2P°1/2",0.6855,3e-04,"L11770"
18,"Ar XIV",13,5,"Argon","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.75513,0.00022,"L11770"
18,"Ar XV",14,4,"Argon","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.8555,3e-04,"L11770"
18,"Ar XVI",15,3,"Argon","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.918375,7e-06,"L16264c99"
18,"Ar XVII",16,2,"Argon","He","1s2","1s2","1S0","1s 2S1/2",4.1206657,4e-07,"L12128"
