"At. Num. "," Sp.  Name. "," Ion  Charge "," El.  name "," Isoel.  Seq. "," Ground  Shells "," Ground  Config. "," Ground  Level "," Ionized  Level "," Ionization  Energy 
 (eV) ","Uncertainty
 (eV) "," References "
15,"P IX ",8,"Phosphorus ","N ","1s22s22p3 ","2s22p3 "," 4S°3/2 ","2p2 3P0 ","  [372.31]                 ",0.21," L11770 "
15,"P X ",9,"Phosphorus ","C ","1s22s22p2 ","2s22p2 "," 3P0 ","2p 2P°1/2 ","  [424.40]                 ",0.09," L11770 "
15,"P XI ",10,"Phosphorus ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ","  [479.44]                 ",0.05," L11770 "
15,"P XII ",11,"Phosphorus ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ","  [560.62]                 ",0.1," L11770 "
15,"P XIII ",12,"Phosphorus ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ","  (611.741)                ",0.007," L16264c99 "
15,"P XIV ",13,"Phosphorus ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  (2 816.90879)              ",0.0002," L12128 "
15,"P XV ",14,"Phosphorus ","H ","1s ","1s "," 2S1/2 "," ","  (3 069.8416)               ",0.0004," L7188 "
16,"S I ",0,"Sulfur ","S ","[Ne]3s23p4 ","3s23p4 "," 3P2 ","3p3 4S°3/2 ",10.36001,0.00012," L7237 "
16,"S II ",1,"Sulfur ","P ","[Ne]3s23p3 ","3s23p3 "," 4S°3/2 ","3p2 3P0 ",23.33788,0.00025," L7237,L5883 "
16,"S III ",2,"Sulfur ","Si ","[Ne]3s23p2 ","3s23p2 "," 3P0 ","3p 2P°1/2 ","  [34.86]                ",0.04," L11770 "
16,"S IV ",3,"Sulfur ","Al ","[Ne]3s23p ","3s23p "," 2P°1/2 ","3s2 1S0 ","  [47.222]               ",0.012," L7237 "
16,"S V ",4,"Sulfur ","Mg ","[Ne]3s2 ","2p63s2 "," 1S0 ","3s 2S1/2 ",72.5945,0.0004," L7237 "
16,"S VI ",5,"Sulfur ","Na ","[Ne]3s ","2p63s "," 2S1/2 ","2p6 1S0 ",88.0529,0.0004," L7237,L4882 "
16,"S VII ",6,"Sulfur ","Ne ","1s22s22p6 ","2s22p6 "," 1S0 ","2p5 2P°3/2 ",280.954,0.007," L9896 "
16,"S VIII ",7,"Sulfur ","F ","1s22s22p5 ","2s22p5 "," 2P°3/2 ","2p4 3P2 ",328.794,0.007," L11242 "
16,"S IX ",8,"Sulfur ","O ","1s22s22p4 ","2s22p4 "," 3P2 ","2p3 4S°3/2 ","  [379.84]                ",0.21," L11770 "
16,"S X ",9,"Sulfur ","N ","1s22s22p3 ","2s22p3 "," 4S°3/2 ","2p2 3P0 ","  [447.7]                 ",0.3," L11770 "
16,"S XI ",10,"Sulfur ","C ","1s22s22p2 ","2s22p2 "," 3P0 ","2p 2P°1/2 ","  [504.55]                ",0.12," L11770 "
16,"S XII ",11,"Sulfur ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ","  [564.41]                ",0.05," L11770 "
16,"S XIII ",12,"Sulfur ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ","  [651.96]                ",0.12," L11770 "
16,"S XIV ",13,"Sulfur ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ","  (706.994)               ",0.007," L16264c99 "
16,"S XV ",14,"Sulfur ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  (3 223.7807)              ",0.0003," L12128 "
16,"S XVI ",15,"Sulfur ","H ","1s ","1s "," 2S1/2 "," ","  (3 494.1879)              ",0.0005," L7188 "
17,"Cl I ",0,"Chlorine ","Cl ","[Ne]3s23p5 ","3s23p5 "," 2P°3/2 ","3p4 3P2 ",12.967633,1.6E-05," L19191 "
17,"Cl II ",1,"Chlorine ","S ","[Ne]3s23p4 ","3s23p4 "," 3P2 ","3p3 4S°3/2 ",23.81364,0.00012," L1617 "
17,"Cl III ",2,"Chlorine ","P ","[Ne]3s23p3 ","3s23p3 "," 4S°3/2 ","3p2 3P0 ","  [39.80]                 ",0.11," L11770 "
17,"Cl IV ",3,"Chlorine ","Si ","[Ne]3s23p2 ","3s23p2 "," 3P0 ","3p 2P°1/2 ","  [53.24]                 ",0.12," L11770 "
17,"Cl V ",4,"Chlorine ","Al ","[Ne]3s23p ","3s23p "," 2P°1/2 ","3s2 1S0 ","  [67.68]                 ",0.1," L11770 "
17,"Cl VI ",5,"Chlorine ","Mg ","[Ne]3s2 ","2p63s2 "," 1S0 ","3s 2S1/2 ","  [96.94]                 ",0.04," L11770 "
17,"Cl VII ",6,"Chlorine ","Na ","[Ne]3s ","2p63s "," 2S1/2 ","2p6 1S0 ",114.2013,0.0006," L6356 "
17,"Cl VIII ",7,"Chlorine ","Ne ","1s22s22p6 ","2s22p6 "," 1S0 ","2p5 2P°3/2 ",348.306,0.007," L6972 "
17,"Cl IX ",8,"Chlorine ","F ","1s22s22p5 ","2s22p5 "," 2P°3/2 ","2p4 3P2 ",400.851,0.012," L9369 "
17,"Cl X ",9,"Chlorine ","O ","1s22s22p4 ","2s22p4 "," 3P2 ","2p3 4S°3/2 ","  [456.7]                  ",0.4," L11770 "
17,"Cl XI ",10,"Chlorine ","N ","1s22s22p3 ","2s22p3 "," 4S°3/2 ","2p2 3P0 ","  [530.0]                  ",0.4," L11770 "
17,"Cl XII ",11,"Chlorine ","C ","1s22s22p2 ","2s22p2 "," 3P0 ","2p 2P°1/2 ","  [591.58]                 ",0.19," L11770 "
